  1196:        216   [0.0230, 899.74, 296.26]
  1200:        224   [0.0227, 883.32, 316.68]
  1204:        227   [0.0236, 930.41, 273.59]
  1208:        217   [0.0227, 918.67, 289.33]
  1212:        196   [0.0228, 924.41, 287.59]
  1216:        181   [0.0228, 905.94, 310.06]
  1220:        198   [0.0233, 910.18, 309.82]
  1224:        187   [0.0214, 899.49, 324.51]
  1228:        172   [0.0226, 914.72, 313.28]
  1232:        159   [0.0222, 914.47, 317.53]
  1236:        150   [0.0214, 922.93, 313.07]
  1240:        139   [0.0227, 919.94, 320.06]
  1244:        147   [0.0234, 923.92, 320.08]
  1248:        142   [0.0227, 918.82, 329.18]
  1252:        111   [0.0236, 905.51, 346.49]
  1256:        123   [0.0233, 886.70, 369.30]
  1260:        105   [0.0237, 945.14, 314.86]
  1264:        116   [0.0230, 896.17, 367.83]
  1268:        103   [0.0230, 861.01, 406.99]
  1272:        105   [0.0230, 919.43, 352.57]
  1276:         93   [0.0222, 898.28, 377.72]
  1280:        103   [0.0228, 897.63, 382.37]
  1284:         93   [0.0234, 918.80, 365.20]
  1288:         84   [0.0227, 926.48, 361.52]
  1292:         72   [0.0227, 847.83, 444.17]
  1296:         89   [0.0243, 904.94, 391.06]
  1300:         69   [0.0256, 802.20, 497.80]
  1304:         87   [0.0262, 889.93, 414.07]
  1308:         79   [0.0246, 901.16, 406.84]
  1312:         65   [0.0235, 877.97, 434.03]
  1316:         70   [0.0252, 890.06, 425.94]
  1320:         76   [0.0236, 967.32, 352.68]
  1324:         68   [0.0222, 893.94, 430.06]
  1328:         47   [0.0232, 891.91, 436.09]
  1332:         55   [0.0260, 977.60, 354.40]
  1336:         57   [0.0249, 903.93, 432.07]
  1340:         48   [0.0234, 909.67, 430.33]
  1344:         46   [0.0233, 954.00, 390.00]
  1348:         61   [0.0237, 880.46, 467.54]
  1352:         46   [0.0263, 835.83, 516.17]
  1356:         55   [0.0224, 917.53, 438.47]
  1360:         52   [0.0239, 922.00, 438.00]
  1364:         31   [0.0278, 1052.65, 311.35]
  1368:         50   [0.0230, 911.44, 456.56]
  1372:         40   [0.0237, 886.20, 485.80]
  1376:         43   [0.0245, 868.47, 507.53]
  1380:         37   [0.0215, 942.92, 437.08]
  1384:         25   [0.0235, 930.40, 453.60]
  1388:         28   [0.0248, 877.00, 511.00]
  1392:         21   [0.0216, 897.52, 494.48]
  1396:         25   [0.0217, 1008.80, 387.20]
  1400:         35   [0.0229, 1026.63, 373.37]
  1404:         25   [0.0250, 929.12, 474.88]
  1408:         26   [0.0235, 991.08, 416.92]
  1412:         27   [0.0288, 916.00, 496.00]
  1416:         21   [0.0267, 862.48, 553.52]
  1420:         22   [0.0242, 976.91, 443.09]
  1424:         25   [0.0256, 1034.24, 389.76]
  1428:         11   [0.0248, 1132.00, 296.00]
  1432:         17   [0.0256, 946.35, 485.65]
  1436:         20   [0.0188, 1015.20, 420.80]
  1440:         24   [0.0222, 1100.17, 339.83]
